Transaction ID,Transaction_Date,Product ID,Product Position,Promotion,Product Category,Seasonal,brand,url,sku,name,description,price,currency,terms,section,Quantity,Sold Price per Unit,Total Amount,Manufactured Qty,Actual Selling Price
246,4/20/2023,112194,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/v-neck-knit-sweater-p03519001.html,314937772-710-2,STRETCH POCKET OVERSHIRT,Varsity jacket made of faux suede fabric. Double welt pockets at hip and interior pocket. Front and back contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,109,KRW,jackets,MAN,2,25,50,7,35
247,10/4/2023,113435,Aisle,No,Clothing,Yes,Zara,https://www.zara.com/us/en/foil-knit-crop-sweater-p06771001.html,320278659-251-2,RIB COLLAR JACKET,Overshirt made of stretchy fabric. Lapel collar and long sleeves with snap buttoned cuffs. Chest patch pockets. Front snap button closure.,129,KRW,jackets,MAN,2,30,60,7,40
248,3/9/2023,159182,Front of Store,Yes,Clothing,No,Zara,https://www.zara.com/us/en/basic-100-wool-sweater-p02893106.html,321993245-500-2,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,Jacket made of technical fabric with padded interior. Tonal elastic rib high collar. Long sleeves. Welt pockets at hip and interior pocket. Interior elastic finish. Front zip closure.,169,KRW,jackets,MAN,3,300,900,8,310
249,10/20/2023,199233,Aisle,Yes,Clothing,No,Zara,https://www.zara.com/us/en/colorblock-knit-crop-sweater-p05536008.html,330590505-500-2,CONTRASTING PATCHES BOMBER JACKET,Oversized jacket. Notched lapel collar and long sleeves. Flap pockets at hip and interior pocket. Front button closure.,159,KRW,jackets,MAN,1,50,50,6,60
250,10/23/2023,137044,Aisle,No,Clothing,Yes,Zara,https://www.zara.com/us/en/hooded-technical-jacket-p01538301.html,320680326-107-39,PATCH BOMBER JACKET,Varsity jacket with elastic collar and long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,12.99,KRW,jackets,MAN,1,50,50,6,60
251,8/31/2023,154736,Front of Store,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/houndstooth-suit-jacket-p04285498.html,311292244-800-39,CROPPED BOMBER JACKET LIMITED EDITION,Varsity jacket with padded interior. Rib elastic collar and long sleeves in contrast faux leather. Double welt pockets at hip and interior pocket. Contrasting patch appliqués at front and back. Rib trim. Front snap button closure.,19.9,KRW,jackets,MAN,4,50,200,9,60
252,5/5/2023,141434,Front of Store,No,Clothing,Yes,Zara,https://www.zara.com/us/en/bomber-jacket-p05344402.html,311307610-400-39,FAUX LEATHER PUFFER JACKET,Jacket with lightly padded interior. Rib collar and long sleeves. Flap pockets at waist. Rib trim. Front asymmetric zip closure.,39.9,KRW,jackets,MAN,1,300,300,6,310
253,8/31/2023,185102,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/basic-puffer-jacket-p06985450.html,272145190-250-2,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,19.99,USD,jackets,MAN,4,500,2000,9,510
254,7/28/2023,188771,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/tuxedo-jacket-p08896675.html,324052738-800-46,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,169,USD,jackets,MAN,1,500,500,6,510
255,4/8/2023,180176,End-cap,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/slim-fit-suit-jacket-p01564520.html,335342680-800-44,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129,USD,jackets,MAN,1,30,30,6,40
256,2/18/2023,112917,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html,328303236-420-44,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129,USD,jackets,MAN,2,500,1000,7,510
257,2/19/2023,192936,End-cap,No,Clothing,Yes,Zara,https://www.zara.com/us/en/double-faced-jacket-p08281477.html,312368260-800-2,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,139,USD,jackets,MAN,4,500,2000,9,510
258,12/4/2023,117590,End-cap,No,Clothing,No,Zara,https://www.zara.com/us/en/contrasting-collar-jacket-p06987331.html,320298385-807-2,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,79.9,USD,jackets,MAN,1,50,50,6,60
259,8/9/2023,189118,Front of Store,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/faux-leather-puffer-jacket-p08281420.html,278112470-800-2,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,69.99,USD,jackets,MAN,4,50,200,9,60
260,7/1/2023,182157,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307408.html,322972485-431-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,159,USD,jackets,MAN,2,30,60,7,40
261,8/5/2023,141861,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html,313854165-401-46,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169,USD,jackets,MAN,2,25,50,7,35
262,7/30/2023,137121,Aisle,No,Clothing,Yes,Zara,https://www.zara.com/us/en/100-feather-fill-puffer-jacket-p04302305.html,312372602-800-2,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169,USD,jackets,MAN,4,30,120,9,40
263,8/28/2023,113143,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/herringbone-textured-jacket-p08491401.html,316207900-710-2,HERRINGBONE TEXTURED JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.,129,USD,jackets,MAN,2,30,60,7,40
264,1/28/2023,140028,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/oversized-cropped-jacket-limited-edition-p04304672.html,329186122-800-2,OVERSIZED CROPPED JACKET LIMITED EDITION,Oversized cropped jacket. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at waist ad interior pocket. Front button closure.,159,USD,jackets,MAN,3,300,900,8,310
265,12/11/2023,134693,Aisle,Yes,Clothing,No,Zara,https://www.zara.com/us/en/leather-biker-jacket-p05833412.html,311297791-800-2,LEATHER BIKER JACKET,Jacket with lapel collar and snap button details. Long sleeves with zip cuffs. Front zip pockets and interior pocket. Asymmetric front closure with metal zipper.,169,USD,jackets,MAN,3,300,900,8,310
266,12/1/2023,151396,Front of Store,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/cropped-leather-jacket-p02521104.html,323134418-800-3,CROPPED LEATHER JACKET,Leather jacket. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.,439,USD,jackets,MAN,2,30,60,7,40
267,11/27/2023,132889,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/faux-leather-boxy-fit-jacket-p08281654.html,311297555-706-2,FAUX LEATHER BOXY FIT JACKET,Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip. Front button closure.,99.9,USD,jackets,MAN,3,30,90,8,40
268,2/20/2023,152174,End-cap,No,Clothing,No,Zara,https://www.zara.com/us/en/faux-leather-jacket-p03427320.html,317012940-800-2,FAUX LEATHER JACKET,Jacket made of faux leather fabric. Lapel collar with snap button details. Long sleeves with zip cuffs. Front zip pockets at chest and hip. Interior pocket. Asymmetric front closure with metal zipper.,99.9,USD,jackets,MAN,1,30,30,6,40
269,2/1/2023,129906,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/faux-suede-bomber-jacket-p06318600.html,311292672-800-2,FAUX SUEDE BOMBER JACKET,Jacket made of faux suede fabric. Ribbed elastic high collar and long sleeve. Welt pockets at hip. Rib trim. Front zip closure.,69.9,USD,jackets,MAN,4,500,2000,9,510
270,7/26/2023,195879,Front of Store,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/denim-bomber-jacket-p00621400.html,321496837-400-3,DENIM BOMBER JACKET,Jacket made of denim fabric with padded interior. Rib elastic collar and long sleeves. Welt pockets at hip and interior pocket. Elastic hem. All-over contrasting topstitching details. Front zip closure.,129,USD,jackets,MAN,1,300,300,6,310
271,6/23/2023,155050,Aisle,No,Clothing,Yes,Zara,https://www.zara.com/us/en/boucle-textured-jacket-p08491402.html,316205038-615-2,BOUCLÉ TEXTURED JACKET,Cropped jacket made with wool blend fabric. High collar and long sleeves with elastic cuffs. Front patch pockets with flaps. Elastic hem. Front snap button closure.,129,USD,jackets,MAN,4,30,120,9,40
272,2/25/2023,194410,End-cap,No,Clothing,No,Zara,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307443.html,322972473-052-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at hip. Interior pocket. Back vents. Front button closure.,159,USD,jackets,MAN,2,50,100,7,60
273,5/8/2023,141904,End-cap,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/jacquard-denim-jacket-p07627402.html,313845662-400-3,JACQUARD DENIM JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Patch pockets with flaps at chest and side pockets at hip. Front hidden button closure.,109,USD,jackets,MAN,1,50,50,6,60
274,4/9/2023,124981,Front of Store,No,Clothing,Yes,Zara,https://www.zara.com/us/en/padded-denim-jacket-p01538413.html,320264577-800-2,PADDED DENIM JACKET,Cropped jacket with lightly quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Washed effect. Rib hems. Front zip closure.,89.9,USD,jackets,MAN,2,500,1000,7,510
275,4/8/2023,161909,Aisle,Yes,Clothing,No,Zara,https://www.zara.com/us/en/leather-jacket-p05479400.html,315529534-705-3,LEATHER JACKET,Relaxed fit jacket in leather. Spread collar and long sleeves with slit cuffs with button closure. Patch pockets at hip. Back vents. Front button closure.,299,USD,jackets,MAN,2,500,1000,7,510
276,10/2/2023,129152,End-cap,No,Clothing,No,Zara,https://www.zara.com/us/en/lightweight-bomber-jacket-p08281315.html,320423517-800-2,LIGHTWEIGHT BOMBER JACKET,Lightweight jacket made of technical fabric. Round neck and long sleeves. Welt pockets at hip. Interior pocket. Rib trim. Front zip closure.,49.9,USD,jackets,MAN,4,25,100,9,35
277,8/18/2023,183243,Front of Store,Yes,Clothing,No,Zara,https://www.zara.com/us/en/suit-jacket-p04303266.html,328250627-251-46,SUIT JACKET,Straight fit jacket made of dense stretch fabric. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169,USD,jackets,MAN,4,25,100,9,35
278,3/13/2023,198248,Front of Store,Yes,Clothing,No,Zara,https://www.zara.com/us/en/faux-leather-bomber-jacket-p03918420.html,311309526-800-2,FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,69.9,USD,jackets,MAN,4,25,100,9,35
279,8/5/2023,191230,End-cap,No,Clothing,No,Zara,https://www.zara.com/us/en/patch-bomber-jacket-p03918330.html,311287528-811-2,PATCH BOMBER JACKET,Varsity jacket made of faux suede fabric. Double welt pockets at hip and interior pocket. Front and back contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,89.9,USD,jackets,MAN,1,500,500,6,510
280,4/4/2023,187234,Front of Store,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/stretch-pocket-overshirt-p07484478.html,342657802-914-2,STRETCH POCKET OVERSHIRT,Overshirt made of stretchy fabric. Lapel collar and long sleeves with snap buttoned cuffs. Chest patch pockets. Front snap button closure.,59.9,USD,jackets,MAN,3,500,1500,8,510
281,5/23/2023,148888,Front of Store,No,Clothing,No,Zara,https://www.zara.com/us/en/rib-collar-jacket-p08281410.html,316207898-712-2,RIB COLLAR JACKET,Jacket made of technical fabric with padded interior. Tonal elastic rib high collar. Long sleeves. Welt pockets at hip and interior pocket. Interior elastic finish. Front zip closure.,109,USD,jackets,MAN,4,500,2000,9,510
282,8/25/2023,110805,Front of Store,Yes,Clothing,No,Zara,https://www.zara.com/us/en/faux-leather-oversized-jacket-limited-edition-p07380310.html,321496761-800-2,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,Oversized jacket. Notched lapel collar and long sleeves. Flap pockets at hip and interior pocket. Front button closure.,159,USD,jackets,MAN,4,50,200,9,60
283,5/8/2023,179801,Front of Store,No,Clothing,Yes,Zara,https://www.zara.com/us/en/contrasting-patches-bomber-jacket-p06318411.html,311307255-800-2,CONTRASTING PATCHES BOMBER JACKET,Varsity jacket with elastic collar and long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,129,USD,jackets,MAN,1,500,500,6,510
284,2/8/2023,134927,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/patch-bomber-jacket-p03833404.html,317129011-500-2,PATCH BOMBER JACKET,Varsity jacket with padded interior. Rib elastic collar and long sleeves in contrast faux leather. Double welt pockets at hip and interior pocket. Contrasting patch appliqués at front and back. Rib trim. Front snap button closure.,129,USD,jackets,MAN,4,50,200,9,60
285,8/15/2023,123150,End-cap,Yes,Clothing,No,Zara,https://www.zara.com/us/en/cropped-bomber-jacket-limited-edition-p08281600.html,330274270-800-2,CROPPED BOMBER JACKET LIMITED EDITION,Jacket with lightly padded interior. Rib collar and long sleeves. Flap pockets at waist. Rib trim. Front asymmetric zip closure.,129,USD,jackets,MAN,1,25,25,6,35
286,10/9/2023,159145,End-cap,Yes,Clothing,No,Zara,https://www.zara.com/us/en/faux-leather-puffer-jacket-p03833302.html,311297855-800-2,FAUX LEATHER PUFFER JACKET,Faux leather jacket with padded interior. Lapel collar and long sleeves with snap buttoned cuffs. Welt pockets at hip and interior pocket. Elastic hem. Front zip hidden by a snap button flap.,109,USD,jackets,MAN,2,25,50,7,35
287,2/20/2023,172364,Aisle,Yes,Clothing,No,Zara,https://www.zara.com/us/en/faux-leather-bomber-jacket-p08281667.html,317782474-800-2,FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. Rib elastic collar and long sleeves. Zip pockets with flaps at hip. Interior pocket. Elastic hem. Front zip closure.,109,USD,jackets,MAN,4,25,100,9,35
288,1/26/2023,178281,End-cap,No,Clothing,Yes,Zara,https://www.zara.com/us/en/bomber-jacket-p06318502.html,315758723-401-2,BOMBER JACKET,Varsity jacket. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front snap button closure.,109,USD,jackets,MAN,4,30,120,9,40
289,11/30/2023,194339,End-cap,No,Clothing,No,Zara,https://www.zara.com/us/en/faux-suede-jacket-p08281652.html,311302863-800-2,FAUX SUEDE JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,89.9,USD,jackets,MAN,2,30,60,7,40
290,10/4/2023,174412,Aisle,No,Clothing,Yes,Zara,https://www.zara.com/us/en/faux-suede-bomber-jacket-p08574500.html,311282759-806-2,FAUX SUEDE BOMBER JACKET,Jacket made of faux suede fabric. Rib elastic collar and long sleeves. Welt pockets at hip. Rib trim. Front zip closure.,69.9,USD,jackets,MAN,2,300,600,7,310
291,1/8/2023,114877,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/suede-jacket-p02521102.html,323134415-700-3,SUEDE JACKET,Jacket made of suede. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.,349,USD,jackets,MAN,2,300,600,7,310
292,2/17/2023,140727,End-cap,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/contrasting-collar-jacket-p01538369.html,312372582-526-2,CONTRASTING COLLAR JACKET,Jacket with lightly padded interior. Contrasting lapel collar. Long sleeves with buttoned cuffs. Washed effect. Double welt pockets at chest and hip. Front zip closure.,79.9,USD,jackets,MAN,4,300,1200,9,310
293,5/2/2023,133109,Front of Store,No,Clothing,Yes,Zara,https://www.zara.com/us/en/textured-jacket-p04302457.html,321143726-712-2,TEXTURED JACKET,Jacket made of textured fabric. Lapel collar and long sleeves with buttoned cuffs. Patch pockets at chest and hidden pockets at hip. Side vents at hem. Front button closure.,79.9,USD,jackets,MAN,3,30,90,8,40
294,3/27/2023,127296,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/cropped-textured-jacket-p01538410.html,320220949-507-2,CROPPED TEXTURED JACKET,Jacket made of dense cotton fabric cut on the bias. Lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Cropped length. Front zip closure.,89.9,USD,jackets,MAN,3,30,90,8,40
295,7/28/2023,133757,Aisle,Yes,Clothing,No,Zara,https://www.zara.com/us/en/pocket-puffer-jacket-p08281439.html,312664937-514-2,POCKET PUFFER JACKET,Quilted jacket made of technical fabric. High collar and long sleeves. Flap pocket at chest and hidden in-seam pockets at side hip. Interior pocket. Interior elastic hem. Cropped length. Front zip closure.,129,USD,jackets,MAN,3,300,900,8,310
296,9/6/2023,111760,End-cap,No,Clothing,No,Zara,https://www.zara.com/us/en/technical-jacket-with-pockets-p03286501.html,321143723-401-2,TECHNICAL JACKET WITH POCKETS,Jacket made of technical fabric with quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Rib trim. Front button closure.,109,USD,jackets,MAN,4,300,1200,9,310
297,9/4/2023,198375,End-cap,No,Clothing,No,Zara,https://www.zara.com/us/en/faux-leather-jacket-p08281345.html,311297763-800-2,FAUX LEATHER JACKET,Jacket made of faux leather fabric. Lapel collar and long sleeves with snap buttoned cuffs. Welt pockets at hip. Front snap button closure.,69.9,USD,jackets,MAN,2,500,1000,7,510
298,4/20/2023,168837,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/faux-suede-jacket-p03548689.html,311292194-731-2,FAUX SUEDE JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,89.9,CAD,jackets,MAN,4,300,1200,9,310
299,7/25/2023,138505,Front of Store,No,Clothing,No,Zara,https://www.zara.com/us/en/ripped-denim-jacket-p01538470.html,335663355-406-2,RIPPED DENIM JACKET,Denim jacket with lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. All over washed effect and rips. Front button closure.,69.9,CAD,jackets,MAN,2,500,1000,7,510
300,1/31/2023,116228,End-cap,Yes,Clothing,No,Zara,https://www.zara.com/us/en/textured-pocket-jacket-p03918500.html,312363708-800-2,TEXTURED POCKET JACKET,Jacket with lightly padded interior. Lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,89.9,CAD,jackets,MAN,4,50,200,9,60
301,3/26/2023,167592,Front of Store,Yes,Clothing,No,Zara,https://www.zara.com/us/en/faux-suede-patch-jacket-p08281357.html,312320664-251-2,FAUX SUEDE PATCH JACKET,Varsity jacket made of faux suede fabric. Lapel collar and long sleeves. Double welt pockets at hip and interior pocket. Front contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,89.9,CAD,jackets,MAN,4,30,120,9,40
302,7/14/2023,133100,End-cap,Yes,Clothing,No,Zara,https://www.zara.com/us/en/puffer-jacket-with-pouch-pocket-p00155401.html,311302445-445-97,PUFFER JACKET WITH POUCH POCKET,Jacket made of technical fabric with padded interior. High collar with front zip closure and long sleeves with elastic strap cuffs. Front and back contrast embroidered text. Zip pockets at hip. Adjustable elastic strap at hem with side zippers and strap.,89.9,CAD,jackets,MAN,2,300,600,7,310
303,1/2/2023,119955,Front of Store,No,Clothing,No,Zara,https://www.zara.com/us/en/bomber-jacket-p05039440.html,323216370-422-97,BOMBER JACKET,Boxy bomber jacket. Rib elastic collar and long sleeves. Welt pockets at hip. Elasticized trim. Front zip closure.,89.9,CAD,jackets,MAN,3,30,90,8,40
304,7/19/2023,189349,End-cap,Yes,Clothing,No,Zara,https://www.zara.com/us/en/textured-weave-overshirt-p01608101.html,317107014-707-2,TEXTURED WEAVE OVERSHIRT,Relaxed fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Side hidden in-seam pockets. Front button closure.,89.9,CAD,jackets,MAN,2,30,60,7,40
305,5/16/2023,127478,Front of Store,No,Clothing,Yes,Zara,https://www.zara.com/us/en/straight-suit-jacket-p04143291.html,328594167-800-46,STRAIGHT SUIT JACKET,Straight fit blazer. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at hip. Interior pocket. Central back vent at hem. Front button closure.,129,CAD,jackets,MAN,1,30,30,6,40
306,8/21/2023,180661,Front of Store,No,Clothing,Yes,Zara,https://www.zara.com/us/en/hooded-quilted-jacket-p00029501.html,311309598-711-2,HOODED QUILTED JACKET,Puffer jacket with high collar and adjustable hood. Long sleeves with interior rib cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip hidden by a snap button flap.,129,CAD,jackets,MAN,1,50,50,6,60
307,5/27/2023,186681,End-cap,No,Clothing,Yes,Zara,https://www.zara.com/us/en/lightweight-puffer-jacket-p04302520.html,267133943-711-2,LIGHTWEIGHT PUFFER JACKET,Padded jacket made of technical fabric. High collar and long sleeves. Welt pockets at hip. Elasticized trim. Front zip closure.,19.99,CAD,jackets,MAN,2,25,50,7,35
308,8/5/2023,133183,Front of Store,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/cotton-blend-bomber-jacket-p06518350.html,318265017-401-2,COTTON BLEND BOMBER JACKET,Jacket made of cotton blend fabric. High collar and long sleeves. Welt pockets at hip. Rib trim. Cropped length. Front zip closure.,89.9,CAD,jackets,MAN,4,300,1200,9,310
309,12/23/2023,173508,Aisle,Yes,Clothing,No,Zara,https://www.zara.com/us/en/pocket-jacket-p06318507.html,322410604-401-2,POCKET JACKET,Jacket made of dense technical fabric. Lapel collar and long sleeves with buttoned cuffs. Multi-functional front pockets. Front zip hidden by a snap button flap.,129,CAD,jackets,MAN,1,25,25,6,35
310,10/12/2023,187930,End-cap,No,Clothing,Yes,Zara,https://www.zara.com/us/en/oversized-bomber-jacket-p08281311.html,324149982-982-2,OVERSIZED BOMBER JACKET,Oversized jacket made of technical fabric. High collar and long sleeves with pocket detail. Welt pockets at hip and interior pocket. Rib trim. Adjustable asymmetric hem with side zippers. Front zip closure.,89.9,CAD,jackets,MAN,1,25,25,6,35
311,12/5/2023,124088,End-cap,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/embroidered-patch-jacket-p05320345.html,320531693-707-2,EMBROIDERED PATCH JACKET,Roomy jacket made of lightweight fabric. Lapel collar and long sleeves with elastic cuffs. Contrasting patch appliqués with embroidery at front and back. Front pouch pocket. Elastic hem. Front zip closure.,79.9,CAD,jackets,MAN,4,25,100,9,35
312,9/7/2023,190238,Front of Store,No,Clothing,Yes,Zara,https://www.zara.com/us/en/acid-wash-denim-jacket-p06688401.html,328279967-409-3,ACID WASH DENIM JACKET,Jacket made of cotton denim. Lapel collar and long sleeves with buttoned cuffs. Patch pockets at chest and side pockets at hip. Washed effect. Front zip closure.,89.9,CAD,jackets,MAN,4,30,120,9,40
313,3/21/2023,151925,End-cap,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/vintage-effect-leather-bomber-jacket-p02521300.html,320774184-800-97,VINTAGE EFFECT LEATHER BOMBER JACKET,,299,EUR,jackets,MAN,3,500,1500,8,510
314,4/8/2023,163234,Front of Store,No,Clothing,No,Zara,https://www.zara.com/us/en/textured-denim-jacket-limited-edition-p01538430.html,322972491-800-2,TEXTURED DENIM JACKET LIMITED EDITION,Lapel collar jacket with long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. All over washed and uneven textured effect. Front button closure.,89.9,EUR,jackets,MAN,4,30,120,9,40
315,6/1/2023,135610,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/wool-blend-jacket-p09621448.html,321501682-800-2,WOOL BLEND JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,109,EUR,jackets,MAN,2,30,60,7,40
316,4/22/2023,117065,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/cotton---linen-blend-jacket-p00706103.html,328616906-712-2,COTTON - LINEN BLEND JACKET,Jacket made of cotton and linen blend fabric. Lapel collar and long sleeves with buttoned cuffs. Patch pocket at chest and side pockets at hip. Elastic hem. Front zip closure.,109,EUR,jackets,MAN,2,25,50,7,35
317,1/30/2023,149315,End-cap,Yes,Clothing,No,Zara,https://www.zara.com/us/en/fleece-bomber-jacket-p08281405.html,311292541-802-2,FLEECE BOMBER JACKET,Jacket made of faux shearling fabric. Rib elastic collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,109,EUR,jackets,MAN,3,30,90,8,40
318,10/24/2023,149510,Aisle,No,Clothing,Yes,Zara,https://www.zara.com/us/en/zippered-jacket-p04087418.html,319205114-807-2,ZIPPERED JACKET,Lapel collar jacket with long sleeves. Front pouch pockets. Front zip closure.,59.9,EUR,jackets,MAN,1,25,25,6,35
319,10/5/2023,137990,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/cotton-jacket-p00706301.html,276213846-500-2,COTTON JACKET,Lapel collar jacket with long sleeves with elastic cuffs. Patch pockets at hip. Elastic hem. Front snap button closure.,29.99,EUR,jackets,MAN,1,500,500,6,510
320,2/1/2023,154016,End-cap,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/wool-blend-textured-jacket-p04296310.html,328244979-064-48,WOOL BLEND TEXTURED JACKET,Jacket made of wool blend fabric. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at chest and flap pockets at hip. Interior pocket. Back vents. Front double breasted button closure.,189,EUR,jackets,MAN,4,300,1200,9,310
321,6/10/2023,117751,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/contrast-jacquard-jacket-p04087423.html,323050745-798-97,CONTRAST JACQUARD JACKET,Full cut jacket with lapel collar and long sleeves. Front button closure.,89.9,EUR,jackets,MAN,2,25,50,7,35
322,1/30/2023,182362,Front of Store,No,Clothing,No,Zara,https://www.zara.com/us/en/cropped-overshirt-p04432403.html,319166635-401-2,CROPPED OVERSHIRT,Cropped overshirt made of contrast double faced fabric. Lapel collar and long sleeves with buttoned cuffs. Chest patch pocket. Adjustable hem with side elastics. Front button closure partially hidden by a flap.,69.9,EUR,jackets,MAN,1,500,500,6,510
323,1/26/2023,117725,Aisle,No,Clothing,Yes,Zara,https://www.zara.com/us/en/contrasting-patches-hooded-jacket-p03833400.html,311297489-800-2,CONTRASTING PATCHES HOODED JACKET,Varsity jacket with stretchy collar and contrasting hood. Long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,109,EUR,jackets,MAN,3,300,900,8,310
